# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 34	21
5.25	0	0.000272991	-2.86103e-05	5.59392e-05	-3.12926e-06

5.5	2	0.000188232	-1.4186e-05	3.66571e-05	-1.34111e-06
5.5	1.9	0.000130774	-6.55654e-06	2.53917e-05	-5.36445e-07
5.5	1.8	0.000110627	-4.64919e-06	2.33949e-05	-3.87432e-07
5.5	1.7	0.000103117	-3.81473e-06	2.28585e-05	-3.5763e-07
5.5	1.6	9.72752e-05	-3.45708e-06	2.24115e-05	-3.5763e-07
5.5	1.5	9.52487e-05	-3.33787e-06	2.22028e-05	-2.98025e-07
5.5	1.4	9.7156e-05	-3.57629e-06	2.23817e-05	-3.27827e-07
5.5	1.3	0.000101209	-3.81473e-06	2.27095e-05	-3.27827e-07
5.5	1.2	0.000104785	-4.17235e-06	2.30373e-05	-3.87432e-07
5.5	1.1	0.000107766	-4.29156e-06	2.32757e-05	-3.87432e-07
5.5	1	0.000112296	-4.7684e-06	2.3544e-05	-3.87432e-07
5.5	0.9	0.000119448	-5.48366e-06	2.3842e-05	-4.47037e-07
5.5	0.8	0.000127316	-6.19891e-06	2.46168e-05	-5.06643e-07
5.5	0.7	0.000131966	-6.79496e-06	2.59877e-05	-5.9605e-07
5.5	0.6	0.000140549	-7.86787e-06	2.76865e-05	-6.55655e-07
5.5	0.5	0.000155807	-9.41759e-06	2.95938e-05	-8.04666e-07
5.5	0.4	0.000167132	-1.09673e-05	3.21569e-05	-9.83484e-07
5.5	0.3	0.000182987	-1.31131e-05	3.56438e-05	-1.1921e-06
5.5	0.2	0.000201703	-1.57357e-05	4.0293e-05	-1.57953e-06
5.5	0.0999999999999999	0.000222922	-1.9312e-05	4.68197e-05	-2.05637e-06
5.5	0	0.00027323	-2.88488e-05	5.60286e-05	-3.15906e-06

5.75	2	0.000187994	-1.4186e-05	3.66273e-05	-1.37091e-06
