# ppms_field_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X
# "Magnetic Field"	"voltage"	"X"	"Y"	"X"
# 91	101
8700	2.1	0.000171305	-1.62126e-05	2.05041e-05
8700	2	0.000181557	-1.83583e-05	2.17856e-05
8700	1.9	0.000198604	-2.16962e-05	2.54513e-05
8700	1.8	0.000223042	-2.65838e-05	3.11139e-05
8700	1.7	0.000243426	-3.13523e-05	3.52862e-05
8700	1.6	0.000262262	-3.62399e-05	3.83558e-05
8700	1.5	0.000282886	-4.19619e-05	4.18129e-05
8700	1.4	0.000312926	-4.98297e-05	4.72071e-05
8700	1.3	0.000341298	-5.79359e-05	5.15284e-05
8700	1.2	0.000366332	-6.62808e-05	5.4002e-05
8700	1.1	0.000406506	-8.07052e-05	6.04095e-05
8700	1	0.000454308	-9.9421e-05	6.81286e-05
8700	0.9	0.000497345	-0.000117898	7.47745e-05
8700	0.799999999999999	0.00054181	-0.000139833	8.11522e-05
8700	0.699999999999999	0.000588898	-0.000166417	8.70232e-05
8700	0.6	0.000646476	-0.000200392	9.16128e-05
8700	0.5	0.000699405	-0.000238181	9.72156e-05
8700	0.399999999999999	0.000753406	-0.000277521	0.000109971
8700	0.299999999999999	0.000824574	-0.000331165	0.000129611
8700	0.199999999999999	0.000908975	-0.00040126	0.000155867
8700	0.0999999999999996	0.000997789	-0.000487329	0.000191451
8700	0	0.00107933	-0.000574235	0.000235201

8600	10	4.62534e-05	-1.31131e-06	7.51021e-06
8600	9.9	5.36444e-05	-1.66894e-06	8.37451e-06
8600	9.8	4.43461e-05	-1.07289e-06	7.54002e-06
8600	9.7	3.36173e-05	-7.15259e-07	6.16911e-06
8600	9.6	2.64646e-05	-3.5763e-07	5.24524e-06
8600	9.5	2.32459e-05	-2.3842e-07	4.52998e-06
8600	9.4	2.50341e-05	-3.5763e-07	4.26176e-06
8600	9.3	2.57493e-05	-3.5763e-07	4.17235e-06
8600	9.2	2.56301e-05	-3.5763e-07	4.17235e-06
8600	9.1	2.52725e-05	-3.5763e-07	4.23196e-06
8600	9	2.4438e-05	-2.3842e-07	4.32137e-06
8600	8.9	2.31267e-05	-2.3842e-07	4.47038e-06
8600	8.8	2.31267e-05	-2.3842e-07	4.82801e-06
8600	8.7	2.57493e-05	-3.5763e-07	5.15583e-06
8600	8.6	2.83719e-05	-4.76841e-07	5.42405e-06
8600	8.5	3.03985e-05	-3.5763e-07	5.78168e-06
8600	8.4	3.26636e-05	-5.9605e-07	6.0797e-06
8600	8.3	3.56438e-05	-7.15259e-07	6.37773e-06
8600	8.2	3.85048e-05	-9.53682e-07	6.70555e-06
8600	8.1	4.0889e-05	-9.53682e-07	6.91417e-06
8600	8	4.30348e-05	-9.53682e-07	7.3314e-06
8600	7.9	4.52998e-05	-1.07289e-06	7.74866e-06
8600	7.8	4.72071e-05	-1.31131e-06	8.07649e-06
8600	7.7	4.89953e-05	-1.31131e-06	8.31491e-06
8600	7.6	5.03066e-05	-1.43052e-06	8.34471e-06
8600	7.5	5.22139e-05	-1.43052e-06	8.40431e-06
8600	7.4	5.41213e-05	-1.78815e-06	8.46392e-06
8600	7.3	5.53133e-05	-1.66894e-06	8.43412e-06
8600	7.2	5.55518e-05	-1.66894e-06	8.37451e-06
8600	7.1	5.55518e-05	-1.90736e-06	8.16589e-06
8600	7	5.45981e-05	-1.66894e-06	8.04669e-06
